105.1466 	INFO 	Loaded monitor calibration from ['2025_08_11 19:48']
105.1875 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
105.5517 	INFO 	Using renderer 'AMD Radeon(TM) Graphics' for graphics
105.5518 	INFO 	OpenGL version supported by driver is 4..
105.6178 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022A472F91E0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022A472F9180>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000022A473AEA40>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(0.0), np.float64(0.0)], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
105.6180 	EXP 	window1: backgroundImage = ''
105.6180 	EXP 	window1: backgroundFit = 'none'
106.6940 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
106.6941 	EXP 	window1: recordFrameIntervals = False
107.1788 	EXP 	window1: recordFrameIntervals = True
107.3639 	EXP 	Screen (0) actual frame rate measured at 59.42Hz
107.3640 	EXP 	window1: recordFrameIntervals = False
107.4615 	INFO 	keyboard.Keyboard is using ptb backend.
107.4619 	INFO 	keyboard.Keyboard is using ptb backend.
107.4619 	EXP 	flankers_task_final: status = STARTED
107.4704 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
107.5211 	EXP 	Created stimulus = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Consolas', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='stimulus', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0240 	EXP 	Imported conditions.csv as conditions, 4 conditions, 5 params
0.0260 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'trialno': np.int64(3), 'Condition': 'I', 'Stimulus': '>>><>', 'Target': '<', 'Correct_resp': 'left', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.1144 	INFO 	Keyboard events cleared
0.1142 	EXP 	stimulus: height = np.float64(0.2)
0.1142 	EXP 	stimulus: height = np.float64(0.2)
0.1142 	EXP 	stimulus: height = np.float64(0.2)
0.1142 	EXP 	stimulus: text = '>>><>'
