trialno,Condition,Stimulus,Target,Correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,stimulus.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
4,I,<<><<,> ,right,0,0,0,right,1,2.321282999999994,None,0,0,0,3,0.09284679999996115,,0.0834525999998732,0.09284679999996115,0.09284679999996115,0.5031658999998854,0.603267699999833,2.427677499999845,right,1,2.321282999999994,None,par_1_,001,2025-11-06_22h53.37.716,flankers_task_final,,2025.1.1,59.661812979328886,2025-11-06 22h53.47.301039 +0530,
1,C,<<<<<,<,left,1,1,0,left,1,1.1488126000001557,None,0,1,1,0,2.44074599999999,,2.4316069999999854,2.44074599999999,2.44074599999999,2.9364923999999064,2.953368099999807,3.603773399999909,left,1,1.1488126000001557,None,par_1_,001,2025-11-06_22h53.37.716,flankers_task_final,,2025.1.1,59.661812979328886,2025-11-06 22h53.47.301039 +0530,
3,I,>>><>,<,left,2,2,0,left,1,4.161861499999986,None,0,2,2,2,3.619745499999908,,3.607316399999945,3.619745499999908,3.619745499999908,4.102929700000004,4.119803499999989,7.786774899999955,left,1,4.161861499999986,None,par_1_,001,2025-11-06_22h53.37.716,flankers_task_final,,2025.1.1,59.661812979328886,2025-11-06 22h53.47.301039 +0530,
2,C,>>>>>,> ,right,3,3,0,right,1,1.1313895999999204,None,0,3,3,1,7.803029400000014,,7.790102999999817,7.803029400000014,7.803029400000014,8.286721299999954,8.30307659999994,8.937293699999827,right,1,1.1313895999999204,None,par_1_,001,2025-11-06_22h53.37.716,flankers_task_final,,2025.1.1,59.661812979328886,2025-11-06 22h53.47.301039 +0530,
2,C,>>>>>,> ,right,4,0,1,right,1,1.119071300000087,None,1,0,4,1,8.952808000000005,,8.937623199999962,8.952808000000005,8.952808000000005,9.43659989999992,9.45317759999989,10.087113299999828,right,1,1.119071300000087,None,par_1_,001,2025-11-06_22h53.37.716,flankers_task_final,,2025.1.1,59.661812979328886,2025-11-06 22h53.47.301039 +0530,
1,C,<<<<<,<,left,5,1,1,left,1,2.1185381999998754,None,1,1,5,0,10.102817799999912,,10.090370699999994,10.102817799999912,10.102817799999912,10.58639909999988,10.602868599999965,12.237094699999943,left,1,2.1185381999998754,None,par_1_,001,2025-11-06_22h53.37.716,flankers_task_final,,2025.1.1,59.661812979328886,2025-11-06 22h53.47.301039 +0530,
3,I,>>><>,<,left,6,2,1,left,1,2.5309217999999873,None,1,2,6,2,12.253243499999826,,12.240298699999812,12.253243499999826,12.253243499999826,12.737335799999983,12.752671299999975,14.787260299999843,left,1,2.5309217999999873,None,par_1_,001,2025-11-06_22h53.37.716,flankers_task_final,,2025.1.1,59.661812979328886,2025-11-06 22h53.47.301039 +0530,
4,I,<<><<,> ,right,7,3,1,right,1,1.6587296000000151,None,1,3,7,3,14.80330519999984,,14.790284799999881,14.80330519999984,14.80330519999984,15.303353300000026,15.303353300000026,16.46994410000002,right,1,1.6587296000000151,None,par_1_,001,2025-11-06_22h53.37.716,flankers_task_final,,2025.1.1,59.661812979328886,2025-11-06 22h53.47.301039 +0530,
2,C,>>>>>,> ,right,8,0,2,right,1,1.0328435000001264,None,2,0,8,1,16.486507299999857,,16.47308309999994,16.486507299999857,16.486507299999857,16.969867199999953,16.986928199999966,17.521578399999953,right,1,1.0328435000001264,None,par_1_,001,2025-11-06_22h53.37.716,flankers_task_final,,2025.1.1,59.661812979328886,2025-11-06 22h53.47.301039 +0530,
3,I,>>><>,<,left,9,1,2,left,1,3.539005800000041,None,2,1,9,2,17.536537099999805,,17.524664599999824,17.536537099999805,17.536537099999805,18.03642419999983,18.03642419999983,21.0872339,left,1,3.539005800000041,None,par_1_,001,2025-11-06_22h53.37.716,flankers_task_final,,2025.1.1,59.661812979328886,2025-11-06 22h53.47.301039 +0530,
